MNIST
QA-Training
ACC
	ori	brightness	canny_edges	dotted_line	fog	glass_blur	identity	impulse_noise	motion_blur	rotate	scale	shear	shot_noise	spatter	stripe	translate	zigzag
LeNet1-ori	98.54	21.18	53.67	92.32	17.38	92.37	98.54	73.31	88.14	88.39	88.74	96.25	96.71	94.31	31	59.02	72.65
LeNet1-8-tflite	98.57	21.44	53.67	92.27	17.52	92.43	98.57	73.11	88.26	88.41	88.76	96.24	96.74	94.4	30.91	58.97	72.62
LeNet1-16-tflite	98.54	21.18	53.65	92.34	17.37	92.38	98.54	73.31	88.12	88.39	88.75	96.25	96.71	94.31	31	59.02	72.65
LeNet1-8-coreml	98.59	21.13	54.29	92.35	17.47	92.52	98.59	73.68	88.24	88.43	89.1	96.25	96.79	94.4	31.27	59	72.97
LeNet1-16-coreml	98.54	21.19	53.72	92.31	17.41	92.42	98.54	73.23	88.17	88.38	88.75	96.24	96.72	94.33	31.01	59.09	72.66

LeNet5-ori	99.07	75.27	66.14	94.41	52.34	95.59	99.07	91.34	93.82	91.62	93.17	97.49	98.02	97.23	80.3	59.57	82.62
LeNet5-8-tflite	99.08	75.62	66.13	94.36	52.62	95.61	99.08	91.36	93.88	91.61	93.21	97.44	98.06	97.27	80.33	59.53	82.59
LeNet5-16-tflite	99.07	75.29	66.11	94.41	52.33	95.6	99.07	91.34	93.8	91.63	93.16	97.48	98.02	97.23	80.29	59.57	82.62
LeNet5-8-coreml	99.12	75.09	66.1	94.36	52.29	95.69	99.12	91.34	93.78	91.71	93.07	97.5	98.06	97.2	80.35	59.44	82.63
LeNet5-16-coreml	99.07	75.21	66.14	94.4	52.34	95.61	99.07	91.3	93.81	91.64	93.17	97.48	98.04	97.25	80.28	59.55	82.62

QA-Training
ACC(Diff)
	ori	brightness	canny_edges	dotted_line	fog	glass_blur	identity	impulse_noise	motion_blur	rotate	scale	shear	shot_noise	spatter	stripe	translate	zigzag
LeNet1-ori	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LeNet1-8-tflite	0.03	0.26	0	-0.05	0.14	0.06	0.03	-0.2	0.12	0.02	0.02	-0.01	0.03	0.09	-0.09	-0.05	-0.03
LeNet1-16-tflite	0	0	-0.02	0.02	-0.01	0.01	0	0	-0.02	0	0.01	0	0	0	0	0	0
LeNet1-8-coreml	0.05	-0.05	0.62	0.03	0.09	0.15	0.05	0.37	0.1	0.04	0.36	0	0.08	0.09	0.27	-0.02	0.32
LeNet1-16-coreml	0	0.01	0.05	-0.01	0.03	0.05	0	-0.08	0.03	-0.01	0.01	-0.01	0.01	0.02	0.01	0.07	0.01

LeNet5-ori	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LeNet5-8-tflite	0.01	0.35	-0.01	-0.05	0.28	0.02	0.01	0.02	0.06	-0.01	0.04	-0.05	0.04	0.04	0.03	-0.04	-0.03
LeNet5-16-tflite	0	0.02	-0.03	0	-0.01	0.01	0	0	-0.02	0.01	-0.01	-0.01	0	0	-0.01	0	0
LeNet5-8-coreml	0.05	-0.18	-0.04	-0.05	-0.05	0.1	0.05	0	-0.04	0.09	-0.1	0.01	0.04	-0.03	0.05	-0.13	0.01
LeNet5-16-coreml	0	-0.06	0	-0.01	0	0.02	0	-0.04	-0.01	0.02	0	-0.01	0.02	0.02	-0.02	-0.02	0

QA-Training
Disagreement
	ori	brightness	canny_edges	dotted_line	fog	glass_blur	identity	impulse_noise	motion_blur	rotate	scale	shear	shot_noise	spatter	stripe	translate	zigzag
LeNet1-ori	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LeNet1-8-tflite	7	55	88	26	73	33	7	80	60	29	30	8	18	36	70	63	56
LeNet1-16-tflite	0	2	2	2	3	3	0	0	6	0	1	0	0	0	4	0	0
LeNet1-8-coreml	14	62	149	43	85	55	14	115	82	47	72	24	22	39	156	115	96
LeNet1-16-coreml	2	12	30	8	23	10	2	33	10	3	1	4	1	6	21	20	14

